,0
Backcontact_deposition_solvents_supplier,0
Backcontact_deposition_solvents_purity,0
Backcontact_deposition_reaction_solutions_compounds,0
Backcontact_deposition_reaction_solutions_compounds_supplier,0
Backcontact_deposition_reaction_solutions_compounds_purity,0
Backcontact_deposition_reaction_solutions_concentrations,0
Backcontact_deposition_reaction_solutions_volumes,0
Backcontact_deposition_reaction_solutions_age,0
Backcontact_deposition_reaction_solutions_temperature,0
Backcontact_deposition_substrate_temperature,0
Backcontact_deposition_thermal_annealing_temperature,0
Backcontact_deposition_thermal_annealing_time,0
Backcontact_deposition_thermal_annealing_atmosphere,0
Backcontact_storage_time_until_next_deposition_step,0
Backcontact_storage_atmosphere,0
Backcontact_storage_relative_humidity,0
Backcontact_surface_treatment_before_next_deposition_step,0
Add_lay_front,0
Add_lay_front_function,0
Add_lay_front_stack_sequence,0
Add_lay_front_thickness_list,0
Add_lay_front_additives_compounds,0
Add_lay_front_additives_concentrations,0
Backcontact_additives_concentrations,0
Add_lay_front_deposition_procedure,0
Add_lay_front_deposition_aggregation_state_of_reactants,0
Add_lay_front_deposition_synthesis_atmosphere_pressure_total,0
Add_lay_front_deposition_synthesis_atmosphere,0
Add_lay_front_deposition_synthesis_atmosphere_relative_humidity,0
Add_lay_front_deposition_solvents,0
Add_lay_front_deposition_solvents_mixing_ratios,0
Add_lay_front_deposition_synthesis_atmosphere_pressure_partial,0
Add_lay_front_deposition_solvents_purity,0
Add_lay_front_deposition_reaction_solutions_compounds,0
Add_lay_front_deposition_reaction_solutions_compounds_supplier,0
Add_lay_front_deposition_reaction_solutions_compounds_purity,0
Add_lay_front_deposition_reaction_solutions_concentrations,0
Add_lay_front_deposition_reaction_solutions_volumes,0
Add_lay_front_deposition_reaction_solutions_age,0
Add_lay_front_deposition_solvents_supplier,0
Add_lay_front_deposition_substrate_temperature,0
Add_lay_front_deposition_thermal_annealing_temperature,0
Add_lay_front_deposition_thermal_annealing_time,0
Add_lay_front_deposition_thermal_annealing_atmosphere,0
Add_lay_front_storage_time_until_next_deposition_step,0
Add_lay_front_storage_atmosphere,0
Add_lay_front_storage_relative_humidity,0
Add_lay_front_surface_treatment_before_next_deposition_step,0
Add_lay_back,0
Add_lay_back_function,0
Add_lay_back_stack_sequence,0
Add_lay_back_thickness_list,0
Add_lay_back_additives_compounds,0
Add_lay_back_additives_concentrations,0
Add_lay_back_deposition_procedure,0
Add_lay_front_deposition_reaction_solutions_temperature,0
Add_lay_back_deposition_aggregation_state_of_reactants,0
Add_lay_back_deposition_synthesis_atmosphere,0
Add_lay_back_deposition_synthesis_atmosphere_pressure_partial,0
Add_lay_back_deposition_synthesis_atmosphere_pressure_total,0
Add_lay_back_deposition_solvents,0
Add_lay_back_deposition_solvents_mixing_ratios,0
Add_lay_back_deposition_solvents_supplier,0
Add_lay_back_deposition_synthesis_atmosphere_relative_humidity,0
Add_lay_back_deposition_reaction_solutions_compounds,0
Add_lay_back_deposition_reaction_solutions_compounds_supplier,0
Add_lay_back_deposition_reaction_solutions_compounds_purity,0
Add_lay_back_deposition_reaction_solutions_concentrations,0
Add_lay_back_deposition_reaction_solutions_volumes,0
Add_lay_back_deposition_reaction_solutions_age,0
Add_lay_back_deposition_reaction_solutions_temperature,0
Add_lay_back_deposition_solvents_purity,0
Add_lay_back_deposition_substrate_temperature,0
Add_lay_back_deposition_thermal_annealing_temperature,0
Add_lay_back_deposition_thermal_annealing_atmosphere,0
Add_lay_back_deposition_thermal_annealing_time,0
Add_lay_back_storage_atmosphere,0
Add_lay_back_storage_relative_humidity,0
Add_lay_back_surface_treatment_before_next_deposition_step,0
Add_lay_back_storage_time_until_next_deposition_step,0
Encapsulation,0
Encapsulation_stack_sequence,0
Encapsulation_atmosphere_for_encapsulation,0
Encapsulation_edge_sealing_materials,0
Encapsulation_water_vapour_transmission_rate,0
Encapsulation_oxygen_transmission_rate,0
JV_default_PCE,0
Original_index,0
