y_train_real,y_train_pred
19.1,11.085400666546464
14.93,10.510971907456328
14.7,11.07330114811966
1.8,10.493418928234167
7.22,10.94776630434785
18.13,11.518847885419328
17.3,10.510971907456328
15.2,10.345091583928655
13.85,10.636353033119805
12.27,11.81779678620414
20.77,10.978432449721247
1.32,10.345091583928655
14.94,10.978432449721247
14.42,10.978432449721247
2.51,10.112340461110309
16.4,10.352450314576549
10.34,10.493418928234167
12.3,10.112340461110309
6.0,10.121219102507887
14.5,10.928586823163855
14.06,11.81779678620414
6.5,10.493418928234167
13.08,10.352450314576549
16.17,9.966770508108109
6.48,10.121219102507887
13.51,10.493418928234167
14.4,10.636353033119805
11.2,10.212419951251821
13.39,10.112340461110309
6.1,10.493418928234167
16.83,9.966770508108109
6.79,9.65819327432908
16.13,10.493418928234167
14.02,10.493418928234167
9.62,10.970244943543142
17.9,11.085400666546464
1.7,10.352450314576549
11.0,10.352450314576549
8.2,10.345091583928655
4.14,10.664135686249493
16.0,10.636353033119805
12.7,11.81779678620414
14.38,10.636353033119805
11.8,10.345091583928655
17.21,10.345091583928655
2.71,9.505660326315848
15.59,10.664135686249493
18.5,11.085400666546464
11.72,10.493418928234167
15.8,10.664135686249493
18.9,10.55688335027103
9.04,10.636353033119805
12.13,10.352450314576549
19.27,10.664135686249493
0.484,10.112340461110309
11.7,10.636353033119805
1.0,10.636353033119805
10.88,10.493418928234167
11.74,10.345091583928655
10.89,10.493418928234167
12.61,10.352450314576549
19.67,11.81779678620414
14.0,10.510971907456328
13.7,10.636353033119805
14.16,10.510971907456328
6.64,10.510971907456328
14.38,10.55688335027103
15.15,11.81779678620414
16.92,11.81779678620414
20.15,11.518847885419328
16.38,10.708016956748782
15.04,11.81779678620414
21.48,11.81779678620414
5.58,10.493418928234167
11.9,10.55688335027103
17.38,10.970244943543142
16.18,10.978432449721247
10.82,10.352450314576549
8.11,10.345091583928655
17.16,10.493418928234167
12.3,10.519805535607514
17.1,10.664135686249493
7.54,10.519805535607514
14.69,10.708016956748782
14.25,10.636353033119805
8.76,10.493418928234167
13.22,11.81779678620414
0.34,10.345091583928655
16.5,10.493418928234167
19.8,11.81779678620414
13.8,10.978432449721247
14.82,10.55688335027103
2.75,10.493418928234167
17.8,14.24565831673522
21.06,10.345091583928655
12.23,10.636353033119805
11.2,11.81779678620414
17.1,10.519805535607514
8.1,10.510971907456328
19.27,10.636353033119805
5.2,9.65819327432908
14.6,10.352450314576549
6.43,10.352450314576549
7.14,10.510971907456328
4.7,10.636353033119805
1.87,10.345091583928655
7.02,10.664135686249493
12.4,10.928586823163855
18.77,11.085400666546464
4.42,10.493418928234167
9.59,10.510971907456328
12.0,10.636353033119805
8.7,10.510971907456328
18.85,10.493418928234167
20.7,11.81779678620414
