,feature_importance
ETL_deposition_procedure_CBD__2,0.001361265811916057
avg_heat_of_vaporization_(kJ/mol),0.0013592714426152806
ETL_stack_sequence_ZnO-np__2,0.0013567700226107472
Perovskite_deposition_thermal_annealing_time_Unknown_10.0,0.0013530810375413842
Cell_semitransparent_False,0.0013517137726939059
Perovskite_deposition_thermal_annealing_time_5.0__2,0.001351331877988111
Perovskite_deposition_thermal_annealing_time_45.0,0.0013158101692481126
Perovskite_deposition_thermal_annealing_temperature_65.0,0.0012917117163365318
Perovskite_composition_none_stoichiometry_components_in_excess_MAI,0.001274002433947812
Perovskite_deposition_thermal_annealing_temperature_100__2,0.0012634093406273354
Backcontact_stack_sequence_Carbon__2,0.0012196192416199917
Perovskite_deposition_solvents_DMF_IPA,0.001215154164558972
ETL_stack_sequence_BMIM_BF4,0.0011809691383857374
ETL_stack_sequence_C60__1,0.0011793678395397755
HTL_additives_compounds_TBP__2,0.0011485974821214453
Perovskite_deposition_procedure_Spin-coating_CBD,0.001147723858967468
avg_Zunger_radii_sum,0.001147674014328385
Perovskite_deposition_thermal_annealing_time_20.0__1,0.0011435221170620624
HTL_stack_sequence_Spiro-MeOTAD,0.001123846499043766
Perovskite_deposition_thermal_annealing_temperature_95.0,0.0011148253401581133
dev_ionic_radius,0.0011129477676041822
HTL_deposition_procedure_Evaporation__2,0.0011074191134465426
Perovskite_deposition_synthesis_atmosphere_N2_N2,0.001100047246776734
avg_heat_of_fusion_(kJ/mol),0.0010957799495794243
ETL_stack_sequence_ZnO-c__2,0.0010828718255417636
Perovskite_deposition_solvents_DMSO,0.0010825704826776467
avg_Allred-Rockow_electronegativity,0.0010815554477732415
dev_specific_heat_(J/g_K),0.0010732078285635703
Perovskite_deposition_synthesis_atmosphere_Air_Air,0.001062561000509755
ETL_stack_sequence_C60,0.0010609410025278862
avg_Mendeleev_Number,0.0010476050111808005
Substrate_stack_sequence_PET__3,0.0010465628540776767
HTL_stack_sequence_PTPD__2,0.0010356185549078665
Perovskite_deposition_thermal_annealing_temperature_90.0,0.0010339500607239862
HTL_deposition_procedure_Spin-coating,0.0010157245821443774
dev_Mulliken_EN,0.0010045990960850023
Perovskite_band_gap_1.55,0.0009913452243390981
ETL_additives_compounds_Unknown__3,0.000979241216429378
dev_Gordy_electonegativity,0.0009782707274469723
max_crystal_radius,0.0009673085884417339
ETL_deposition_procedure_Evaporation__3,0.0009667579803148621
Perovskite_deposition_solvents_mixing_ratios_2;_3,0.0009532330300264808
avg_Boiling_Point_(K),0.0009479913784916349
Perovskite_pl_max_760.0,0.0009385601917689165
ETL_additives_compounds_Li-TFSI,0.0009375693370144519
HTL_stack_sequence_CuSCN__1,0.0009364099400764587
Perovskite_deposition_thermal_annealing_temperature_135.0__1,0.0009358913187144289
ETL_stack_sequence_ZnO-c__3,0.0009339264158622468
ETL_deposition_procedure_Pulsed_laser_deposition__1,0.0009221343648258467
Perovskite_deposition_aggregation_state_of_reactants_Liquid_Liquid__2,0.0009215365029115312
Perovskite_deposition_thermal_annealing_temperature_Unknown_100.0,0.0009111216888559862
ETL_deposition_procedure_Evaporation__1,0.0008890229492537002
Backcontact_stack_sequence_MoO3__2,0.0008833762085544213
HTL_additives_compounds_Unknown__3,0.0008786336222981034
dev_metallic_valence,0.0008599838880769966
Perovskite_deposition_thermal_annealing_time_6.0,0.000854844271085622
dev_Zunger_radii_sum,0.0008548033378277529
HTL_deposition_procedure_Spray-pyrolys__1,0.0008501617574059478
avg_Mulliken_EN,0.0008499026993266566
dev_MB_electonegativity,0.0008349337128490766
dev_gilmor_number_of_valence_electron,0.0008246189513480472
dev_heat_of_vaporization_(kJ/mol),0.0008173481413823557
Perovskite_deposition_procedure_Spin-coating_Recrystallization,0.000815465118932392
Perovskite_deposition_after_treatment_of_formed_perovskite_Washed_with_IPA,0.0007973388102081015
Perovskite_deposition_thermal_annealing_time_90.0,0.000790489515731729
ETL_stack_sequence_CdS__1,0.0007874211074686164
dev_Mendeleev_Number,0.0007858278651955668
ETL_stack_sequence_PCBM-60,0.0007835531528480595
Perovskite_pl_max_780.0,0.0007824097641222339
Perovskite_deposition_thermal_annealing_time_2.0,0.0007615610479808117
