Perovskite_composition_long_form,Perovskite_band_gap,formula
FA0.71MA0.29PbBr0.42I2.58,1.62,
FA0.75K0.1MA0.15PbBr0.55I2.55,1.59,
FA0.75MA0.25Ge0.05Sn0.95I3,1.4,
FA0.75MA0.25Ge0.1Sn0.9I3,1.42,
FA0.75MA0.25Ge0.2Sn0.8I3,1.53,
FA0.75MA0.25Pb0.75Sn0.25I3,1.33,
FA0.75MA0.25PbBr0.45I2.55,1.62,
FA0.75MA0.25PbBr0.51I2.49,1.65,
FA0.75MA0.25PbBr0.75I2.25,1.61,
FA0.75MA0.25PbI3,1.53,
FA0.75MA0.25SnI3,1.36,
FA0.75Sn0.25I3,1.4,
FA0.7MA0.3Pb0.5Sn0.5I3,1.22,
FA0.7MA0.3Pb0.7Sn0.3I3,1.26,
FA0.7MA0.3PbBr0.095I0.905,1.63,
FA0.7MA0.3PbBr0.10I2.90,1.58,
FA0.7MA0.3PbBr0.256I0.744,1.71,
FA0.7MA0.3PbBr0.9I2.1,1.71,
FA0.7MA0.3PbI3,1.6,
FA0.81MA0.19PbBr0.54I2.46,1.62,
FA0.82MA0.18PbBr0.53I2.47,1.64,
FA0.83MA0.17PbBr0.03I2.97,1.6,
FA0.83MA0.17PbBr0.33I2.67,1.59,
FA0.83MA0.17PbBr0.39I2.61,1.6,
FA0.83MA0.17PbBr0.46I2.54,1.57,
FA0.83MA0.17PbBr0.47I2.53,1.61,
FA0.83MA0.17PbBr0.49I2.51,1.6,
FA0.83MA0.17PbBr0.50I2.50,1.627,
FA0.83MA0.17PbBr0.51I2.49,1.62,
FA0.83MA0.17PbBr0.51I2.59,1.6,
FA0.83MA0.17PbBr0.52I2.48,1.64,
FA0.83MA0.17PbBr0.5I2.5,1.6,
FA0.83MA0.17PbBr1.2I1.8,1.72,
FA0.83MA0.17PbBr1.5I1.5,1.84,
FA0.83MA0.17PbBr2.5I0.5,2.113,
FA0.83MA0.17PbBr2I,1.976,
FA0.83MA0.17PbBr3,2.278,
FA0.83MA0.17PbBrI2,1.684,
FA0.83MA0.17PbI3,1.53,
FA0.84MA0.16PbBr0.4I2.6,1.53,
FA0.84MA0.16PbBr0.50I2.50,1.65,
FA0.84MA0.16PbBr0.51I2.49,1.64,
FA0.84MA0.16PbBr0.5I1.5,1.83,
FA0.85MA0.15Pb1.0Br0.45I2.55,1.59,
FA0.85MA0.15PbBr0.15I0.85,1.63,
FA0.85MA0.15PbBr0.21I2.79,1.56,
FA0.85MA0.15PbBr0.45I2.55,1.6,
FA0.85MA0.15PbBr0.50I2.50,1.65,
FA0.85MA0.15PbBr0.55I2.55,1.58,
FA0.85MA0.15PbBr0.5I2.5,1.627,
FA0.85MA0.15PbBr0.6I2.4,1.616,
FA0.85MA0.15PbI3,1.56,
FA0.87MA0.13PbI3,1.5,
FA0.88MA0.12PbI3,1.53,
FA0.8K0.05MA0.15PbBr0.55I2.55,1.59,
FA0.8MA0.2PbBr0.095I0.905,1.61,
FA0.8MA0.2PbBr0.22I,1.53,
FA0.8MA0.2PbBr0.256I0.744,1.72,
FA0.8MA0.2PbBr0.2I2.8,1.53,
FA0.8MA0.2PbBr0.6I2.4,1.61,
FA0.8MA0.2PbBr0.6I2.40,1.5,
FA0.8MA0.2PbI3,1.35,
FA0.90TN0.10SnI3,1.39,
FA0.92MA0.08PbBr0.24I2.76,1.56,
FA0.92MA0.08PbI3,1.55,
FA0.93MA0.03PbBr0.09I2.91,1.55,
FA0.95MA0.05PbBr0.15I2.85,1.51,
FA0.96MA0.04PbBr0.12I2.88,1.48,
FA0.975MA0.025PbI3,1.48,
FA0.976MA0.024PbBr0.075I2.925,1.54,
FA0.992MA0.008PbBr0.024I2.976,1.56,
FA0.9MA0.1PbBr0.03I2.97,1.581,
FA0.9MA0.1PbBr0.095I0.905,1.61,
FA0.9MA0.1PbBr0.1I2.9,1.56,
FA0.9MA0.1PbBr0.256I0.744,1.7,
FA0.9MA0.1PbBr0.3I2.7,1.5,
FA0.9MA0.1PbI3,1.525,
FABiPbI3,1.6,
FAMAPbBr0.45I2.55,1.65,
FAMAPbBr3I,1.6,
FAMAPbBrI,1.54,
FAMAPbI3,1.546,
FAPb0.125Sn0.875I3,1.25,
FAPb0.25Sn0.75I3,1.21,
FAPb0.2Sn0.8I3,1.29,
FAPb0.375Sn0.625I3,1.21,
FAPb0.4Sn0.6I3,1.29,
FAPb0.5Sn0.5I,1.22,
FAPb0.5Sn0.5I3,1.17,
FAPb0.625Sn0.375I3,1.24,
FAPb0.75Sn0.25I3,1.31,
FAPb0.7Sn0.3I3,1.34,
FAPb0.875Sn0.125I3,1.33,
FAPb0.9Sn0.1I3,1.43,
FAPb1.0I3,1.48,
FAPbBr,2.23,
FAPbBr0.095I0.905,1.59,
FAPbBr0.15I2.85,1.62,
FAPbBr0.256I0.744,1.7,
FAPbBr0.5I2.5,1.965,
FAPbBr0.6I2.4,1.57,
FAPbBr1.5I1.5,1.91,
FAPbBr2.1Cl0.9,2.44,
FAPbBr2.25Cl0.75,2.39,
FAPbBr2.43Cl0.57,2.36,
FAPbBr2.5I0.5,2.105,
FAPbBr2.67Cl0.33,2.3,
FAPbBr2Cl,2.48,
FAPbBr2I,1.969,
FAPbBr3,2.26,
FAPbBr3I,1.6,
FAPbBrI2,2.268,
FAPbI,1.54,
FAPbI3,1.48,
FASn1.0I3,1.4,
FASnBr0.24I2.76,1.47,
FASnBr0.5I2.5,1.53,
FASnBr0.75I2.25,1.63,
FASnBr3,1.6,
FASnBrI2,1.55,
FASnI3,1.4,
GUPb(SCN)3I,1.43,
GUPbI3,2.52,
HA0.1MA0.9SnI3,1.3,
HA0.2MA0.8SnI3,1.3,
HA0.3MA0.7SnI3,1.3,
HAMAPbI3,1.6,
IA0.05MA0.95PbI3,1.6,
IMPbI3,2.92,
LaYS3,2,
MA0.5PA0.5PbI3,1.55,
MA0.75Sn0.25I3,1.38,
MA0.98PbI3,1.59,
MA3Bi2I9,2.1,
MA3BiI2,2.2,
MA3PbBr0.32I2.68,1.64,
MA3Sb1.4Sn0.6I9,1.75,
MA3Sb2I9,2.17,
MAAg0.005Pb0.995Br3,2.3,
MAAg0.01Pb0.99Br3,2.3,
MAAg0.02Pb0.98Br3,2.3,
MAAg0.05Pb0.95Br3,2.3,
MAAg0.1Pb0.9Br3,2.3,
MAAlCl4,2.8,
MACo0.008Pb0.992I3,1.56,
MACo0.016Pb0.984I3,1.56,
MACo0.031Pb0.969I3,1.56,
MACo0.063Pb0.937I3,1.56,
MACu0.05Pb0.85Sn0.1Br0.1I2.9,1.44,
MACu0.05Pb0.8Sn0.15Br0.1I2.9,1.39,
MACu0.05Pb0.95Br0.1I2.9,1.6,
MACu0.05Pb0.9Sn0.05Br0.1I2.9,1.55,
MAFe0.1Pb0.9I3,1.61,
MAMnI3,1.65,
MANiCl2I,1.41,
MAPb(Br0.7I0.3)xCl3-x,1.97,
MAPb0.125Sn0.875I3,1.18,
MAPb0.25Sn0.75Br1.2I1.8,1.34,
MAPb0.25Sn0.75I3,1.25,
MAPb0.2Sn0.8Br0.4I2.6,1.26,
MAPb0.2Sn0.8I3,1.189,
MAPb0.375Sn0.625I3,1.2,
MAPb0.38Sn0.62I3,1.22,
MAPb0.3Sn0.7I3,1.17,
MAPb0.4Sn0.6Br0.4I2.6,1.26,
MAPb0.4Sn0.6Br0.6I2.4,1.24,
MAPb0.4Sn0.6Br0.9I2.1,1.25,
MAPb0.4Sn0.6Br1.2I1.8,1.26,
MAPb0.4Sn0.6Br1.5I1.5,1.27,
MAPb0.4Sn0.6Br1.8I1.2,1.29,
MAPb0.4Sn0.6Br2.1I0.9,1.3,
MAPb0.4Sn0.6Br2.4I0.6,1.32,
MAPb0.4Sn0.6BrI3,1.16,
MAPb0.4Sn0.6I3,1.27,
MAPb0.50Sn0.50Br1.2I1.8,1.48,
MAPb0.5Sn0.5Br0.6I2.4,1.35,
MAPb0.5Sn0.5I3,1.22,
MAPb0.625Sn0.375I3,1.25,
MAPb0.65Sn0.35I3,1.25,
MAPb0.6Sn0.4Br0.4I2.6,1.26,
MAPb0.6Sn0.4I3,1.39,
MAPb0.75Sn0.25Br0.3I2.7,1.43,
MAPb0.75Sn0.25Br0.6I2.4,1.48,
MAPb0.75Sn0.25Br0.9I2.1,1.53,
MAPb0.75Sn0.25Br1.2I1.8,1.59,
MAPb0.75Sn0.25Br1.5I1.5,1.65,
MAPb0.75Sn0.25Br1.8I1.2,1.73,
MAPb0.75Sn0.25Br2.1I0.9,1.8,
MAPb0.75Sn0.25Br2.4I0.6,1.9,
MAPb0.75Sn0.25Br2.7I0.3,1.99,
MAPb0.75Sn0.25Br3,2.03,
MAPb0.75Sn0.25I,1.24,
MAPb0.75Sn0.25I3,1.24,
MAPb0.7Sn0.255I3,1.3,
MAPb0.7Sn0.3I3,1.2,
MAPb0.85Sn0.15I3,1.28,
MAPb0.875Sn0.125I3,1.42,
MAPb0.8Sn0.2Br0.4I2.6,1.26,
MAPb0.8Sn0.2I3,1.5,
MAPb0.8Sr0.2I3,1.628,
MAPb0.92Sb0.08I3,1.65,
MAPb0.93I3,1.44,
MAPb0.95Sb0.05I3,1.63,
MAPb0.95Sn0.05I3,1.5,
MAPb0.95Sr0.05I3,1.632,
MAPb0.97Sb0.03Br2.94I0.09,1.59,
MAPb0.97Sb0.03I3,1.58,
MAPb0.98Sb0.02I3,1.5,
MAPb0.9Sb0.1I3,1.67,
MAPb0.9Sn0.1I3,1.31,
MAPb0.9Sr0.1I3,1.63,
MAPb0Sn0.19I3,1.31,
MAPb1.0Br0.15I2.85,1.57,
MAPb1.0Br0.33I2.66,1.65,
MAPb1.0Br0.3I2.7,1.58,
MAPb1.0Br0.45I2.55,1.6,
MAPb1.0Br0.66I2.33,1.58,
MAPb1.0Br0.6I2.4,1.62,
MAPb1.0Br1.5I1.5,1.72,
MAPb1.0Br3,2.1,
MAPb1.0BrI2,1.6,
MAPb1.0Cl3,2.8,
MAPb1.0ClI2,2.7,
MAPb1.0I3,1.55,
MAPbBr0.02I2.98,1.6,
MAPbBr0.033I2.97,1.6,
MAPbBr0.03I2.97,1.6,
MAPbBr0.05I2.95,1.57,
MAPbBr0.066I2.93,1.61,
MAPbBr0.075I2.925,1.61,
MAPbBr0.075I2.95,1.6,
MAPbBr0.083I2.92,1.61,
MAPbBr0.08I2.92,1.6,
MAPbBr0.09I2.91,1.61,
MAPbBr0.11I2.89,1.585,
MAPbBr0.12I2.88,1.6,
MAPbBr0.14I2.86,1.591,
MAPbBr0.15I2.85,1.53,
MAPbBr0.18I2.82,1.604,
MAPbBr0.1I2.9,1.6,
MAPbBr0.225I2.775,1.6,
MAPbBr0.25I2.75,1.65,
MAPbBr0.2I2.8,1.597,
MAPbBr0.30I2.70,1.65,
MAPbBr0.33I2.67,1.62,
MAPbBr0.36I2.64,1.62,
MAPbBr0.39I2.61,1.641,
MAPbBr0.3I2.7,1.5,
MAPbBr0.3I2.9,1.589,
MAPbBr0.45I2.55,1.65,
MAPbBr0.4I2.6,1.67,
MAPbBr0.56I2.44,1.68,
MAPbBr0.5I2.5,1.62,
MAPbBr0.6Cl2.4,2.83,
MAPbBr0.6I2.4,1.67,
MAPbBr0.75I2.25,1.67,
MAPbBr0.78I2.22,1.69,
MAPbBr0.7I2.3,1.68,
MAPbBr0.81I2.19,1.71,
MAPbBr0.87I2.13,1.71,
MAPbBr0.8I2.2,1.75,
MAPbBr0.9I,1.72,
MAPbBr0.9I2.1,1.7,
MAPbBr1.14I1.86,1.777,
MAPbBr1.16I1.74,1.9,
MAPbBr1.25I75,1.76,
MAPbBr1.26I1.74,1.79,
MAPbBr1.2I1.8,1.77,
MAPbBr1.41I1.59,1.791,
MAPbBr1.5I1.5,1.67,
MAPbBr1.74I1.26,1.924,
MAPbBr1.77I1.23,1.96,
MAPbBr1.7I1.3,1.94,
MAPbBr1.8I1.2,1.92,
MAPbBr2.13I0.87,2.033,
MAPbBr2.16I0.84,2.01,
MAPbBr2.25I0.75,1.67,
MAPbBr2.52I0.48,2.154,
MAPbBr2.5I0.5,2.161,
MAPbBr2.85I0.15,2.23,
MAPbBr2I,1.78,
MAPbBr3,2.3,
MAPbBrI,1.594,
MAPbBrI2,1.8,
MAPbCl3,3.04,
MAPbI,1.58,
MAPbI3,1.6,
MAPbI3-xClx,1.6,
MAPbIx,1.6,
MASb1.2Sn0.8I9,1.65,
MASb1.6Sn0.4I9,1.85,
MASb1.8Sn0.2I9,1.95,
MASb1.9Sn0.1I9,2,
MASbSnI9,1.5,
MASnBr0.42I2.58,1.4,
MASnBr0.6I2.4,1.36,
MASnBr1.2I1.8,1.6,
MASnBr1.5Cl0.5I,1.97,
MASnBr1.5I1.5,1.57,
MASnBr1.8Cl0.2I,1.87,
MASnBr2.64I0.36,1.83,
MASnBr2I,1.77,
MASnBr3,2.08,
MASnBrI2,1.46,
MASnCl3,2.1,
MASnF0.4I2.6,1.85,
MASnI3,1.34,
PAPbI3,2.32,
RbPbI3,1.98,
nan,1.713,
nanCu3SbI6,2.43,
