y_train_real,y_train_pred
19.1,19.154466666666632
14.93,14.088043540348544
14.7,14.515380000000018
1.8,3.4523778200299864
7.22,9.235284523809524
18.13,15.359040000000016
17.3,16.028963174603163
15.2,14.566937301587311
13.85,12.745480000000002
12.27,14.368114603174602
20.77,20.396103631817294
1.32,2.842971666666668
14.94,16.824880000000014
14.42,13.721072380952373
2.51,2.3893828571428593
16.4,15.391175238095244
10.34,10.293532619047623
12.3,11.828803333333319
6.0,6.211687857142859
14.5,14.507130183982682
14.06,14.888236666666645
6.5,8.760064898989897
13.08,13.611338002552998
16.17,15.717242380952388
6.48,6.405213505794173
13.51,12.38946412698413
14.4,13.102490000000007
11.2,11.839091190476202
13.39,12.347115000000013
6.1,6.9046019047619085
16.83,15.982243055555555
6.79,6.569467857142858
16.13,7.302106203820306
14.02,13.578981666666662
9.62,10.224713888888898
17.9,19.2586423809524
1.7,5.906949999999999
11.0,11.73033232843137
8.2,8.567412849503445
4.14,5.842055238095238
16.0,15.731994999999994
12.7,13.779883333333332
14.38,14.850070873015877
11.8,12.927614502164502
17.21,17.81472865800865
2.71,3.7578680733155716
15.59,15.884276666666663
18.5,18.505052142857142
11.72,12.054887628205126
15.8,16.389933333333328
18.9,18.87344075336428
9.04,8.356218944666443
12.13,11.584364999999996
19.27,17.75902380952381
0.484,3.206365999999999
11.7,11.238247857142863
1.0,4.930233333333331
10.88,12.686372500000006
11.74,13.085868012265507
10.89,12.135774285714286
12.61,12.313348333333328
19.67,19.517206610750353
14.0,11.696353571428569
13.7,14.222500000000009
14.16,12.98826
6.64,7.183923333333331
14.38,13.384878385825221
15.15,15.465456428571436
16.92,16.90938413468189
20.15,19.177532893901702
16.38,15.936066666666663
15.04,15.849904206349208
21.48,19.62697445165946
5.58,6.833737747252748
11.9,12.379694761904767
17.38,18.43960190476191
16.18,15.22570166666667
10.82,8.314209523809518
8.11,8.99223044217822
17.16,16.913278860028868
12.3,12.118898333333327
17.1,17.371833333333317
7.54,7.770098015873017
14.69,13.906978333333349
14.25,12.652631666666673
8.76,8.664784999999997
13.22,11.5409216036741
0.34,5.343741746031742
16.5,13.906746428571424
19.8,19.242359166666652
13.8,15.523219823551921
14.82,14.676406666666669
2.75,3.6683107445332443
17.8,17.63389031746032
21.06,19.353913095238088
12.23,12.718906666666662
11.2,12.047668595293596
17.1,17.420429999999993
8.1,7.785030627289372
19.27,19.31606741300694
5.2,7.0956866666666665
14.6,14.366418650793651
6.43,10.193294523809522
7.14,6.854393968253972
4.7,11.888414029581533
1.87,3.9939522551526196
7.02,9.573229047619044
12.4,11.621796428571427
18.77,19.0155930952381
4.42,8.067010714285708
9.59,9.287543230103228
12.0,12.306871428571426
8.7,10.550251255411256
18.85,17.610236666666655
20.7,20.3725630952381
5.81,5.891748571428572
11.66,14.131279574592076
3.5,6.438918571428574
11.87,11.80063833333333
17.4,17.025305476190482
16.0,15.897569047619054
8.4,9.692167784992781
14.9,15.225855000000013
15.7,16.08344404761907
12.77,13.153036666666669
21.01,20.222776666666665
12.4,12.436275000000002
9.73,8.204534285714283
15.0,18.146552658452663
5.8,5.596016666666669
14.03,13.746026666666662
6.66,7.900073452380956
10.7,6.857740442645589
19.7,19.262400000000017
13.62,13.944927947330452
19.7,19.132925382395378
15.02,14.80571565601065
10.68,11.95752333333333
12.16,13.175468333333331
11.71,11.133311785714284
0.46,1.5526930158730154
14.94,14.811361666666693
13.3,12.437341666666663
15.91,16.188992674319145
7.98,7.488398611111116
19.77,19.768903809523795
14.6,14.949288327914905
15.4,12.55388333333334
12.6,12.372496666666661
20.14,19.98806535714285
10.8,10.697404703331754
15.76,13.842729732767227
19.7,17.360453412698433
3.29,5.115791926406926
18.24,18.01817952380952
15.9,14.176284464151417
11.8,11.981175714285712
5.9,4.13187857142857
16.5,16.33167833333335
20.3,20.034898787878785
6.25,6.035027947753997
18.88,17.683827142857147
7.3,9.335800634920634
1.57,9.485044104460213
13.52,14.90608011904761
15.25,14.939002976190471
12.1,13.033835000000005
17.09,16.519959523809522
12.96,13.024784736842104
13.11,15.07873138888888
1.02,2.201195000000001
15.78,7.7982750409596395
14.2,13.646669047619048
17.1,17.603127857142862
11.82,11.763049356421552
12.7,11.28498972742937
9.93,9.604624285714277
13.4,13.692561969696975
11.9,12.382944047619048
15.8,16.597928571428554
15.61,16.027244018759017
8.78,9.647043939393923
16.61,15.862340000000003
11.42,11.866308333333334
13.3,10.062618661246162
0.26,2.4507119047619046
0.18,1.7565045238095234
19.1,17.898880952380935
4.98,5.013409285714287
14.0,13.85944166666666
17.1,16.570444696969684
15.27,14.262907619047615
14.1,15.7439811111111
9.6,10.590680000000004
20.7,19.438134523809534
17.16,16.27155904761905
13.56,13.746987142857142
15.83,15.965665476190477
7.03,9.279695212842714
14.67,15.864258888888887
14.76,14.9542481993007
19.6,19.409129999999994
6.6,9.40259642857143
16.31,16.735754999999997
7.7,9.261150916305914
10.47,10.373326499538475
14.0,12.373060555555558
0.85,2.4386608333333317
16.3,16.51462857142856
7.0,6.168044920634921
11.99,11.959428095238097
19.51,18.59299666666667
1.3,5.185466904761904
