,feature_importance
max_metallic_valence,1.3777891824431797e-05
avg_Metalliod,1.2967370791367951e-05
mode_Period,1.2867641010378497e-05
min_heat_of_fusion_(kJ/mol)_,1.281975874316124e-05
range_metallic_valence,1.2425898346458224e-05
range_Period,1.2048390051568837e-05
max_number_of_valence_electrons,1.1788068164890034e-05
mode_valence_s,1.1133167938009937e-05
range_Metalliod,1.0926431750408427e-05
max_l_quantum_number,1.0918740850844449e-05
mode_Pauling_Electronegativity,1.0583262585558847e-05
mode_Cohesive_energy,9.717134627341256e-06
min_Zunger_radii_sum,9.338924963984721e-06
min_crystal_radius,9.306504804942429e-06
range_Cohesive_energy,8.936876685822953e-06
max_Gordy_electonegativity,8.482322380593735e-06
min_Atomic_Radius,7.89855286101572e-06
range_Boiling_Point_(K),7.680177177752714e-06
min_Atomic_Weight,7.5689151891945995e-06
mode_Allred-Rockow_electronegativity,6.974560737503248e-06
mode_Boiling_Point_(K),6.8098288795021786e-06
max_heat_of_fusion_(kJ/mol)_,6.792351354519126e-06
max_Allred-Rockow_electronegativity,6.574853442365012e-06
mode_group,6.304515829918011e-06
min_Period,5.908427702660836e-06
mode_MB_electonegativity,5.887512184557175e-06
min_Melting_point_(K),5.741081406467525e-06
max_Melting_point_(K),5.722280451918524e-06
mode_Covalent_Radius,5.704617032880725e-06
min_ionic_radius,5.704226311675408e-06
mode_Zunger_radii_sum,5.588156188225394e-06
mode_thermal_conductivity_(W/(m_K))_,5.493559830635143e-06
mode_Mendeleev_Number,5.378138017020612e-06
mode_Density_(g/mL),5.340829467238218e-06
range_Atomic_Weight,5.167251490247334e-06
max_Atomic_Number,5.143839574306681e-06
range_Atomic_Number,5.013579161382958e-06
mode_specific_heat_(J/g_K)_,4.997534301604174e-06
mode_Atomic_Weight,4.4910431414752104e-06
max_Cohesive_energy,4.254465431192269e-06
min_Density_(g/mL),4.1159798705498575e-06
max_heat_atomization(kJ/mol),3.995594065195498e-06
min_valence_d,3.975964683725039e-06
mode_heat_of_vaporization_(kJ/mol)_,3.959741845474418e-06
mode_polarizability(A^3),3.946883095702933e-06
min_Boiling_Point_(K),3.841668193784515e-06
min_Cohesive_energy,3.744516719165537e-06
mode_valence_p,3.7215358601958615e-06
max_Atomic_Weight,3.625314703060237e-06
min_heat_of_vaporization_(kJ/mol)_,3.5610737064801383e-06
mode_1st_ionization_potential_(kJ/mol),3.4857615470453045e-06
max_1st_ionization_potential_(kJ/mol),3.3894910621457455e-06
mode_Atomic_Number,3.165404093859043e-06
max_Metalliod,3.101674673506656e-06
